index,source,hosted link,screenshot link,archived
1,https://twitter.com/madon5/status/1346916629804961797,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750450/capitol-riots-paper/1.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750450/capitol-riots-paper/1_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/YZZIorRNDZTaOekgOA3sUN10/
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750450/capitol-riots-paper/1.2.jpg,,
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750450/capitol-riots-paper/1.3.jpg,,
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750450/capitol-riots-paper/1.4.jpg,,
2,https://twitter.com/stunningtruthsr/status/1346916898890371072,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750452/capitol-riots-paper/2.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750450/capitol-riots-paper/2_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/DJwj4GtNqJE2t73Ido4Xq2PU/
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750452/capitol-riots-paper/2.2.jpg,,
3,https://twitter.com/stunningtruthsr/status/1346915871306833920,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750452/capitol-riots-paper/3.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750452/capitol-riots-paper/3_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/Z8vgLt4An0dct6YP9MRWP4ES/
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750452/capitol-riots-paper/3.2.jpg,,
4,https://twitter.com/rwacollins/status/1346928657156120577,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750453/capitol-riots-paper/4.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750452/capitol-riots-paper/4_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/NPEuK86PhlPocAxbNbhLxhi5/
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750453/capitol-riots-paper/4.2.jpg,,
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750453/capitol-riots-paper/4.3.jpg,,
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750453/capitol-riots-paper/4.4.jpg,,
5,https://twitter.com/yadayada8989/status/1347101778160963587,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750454/capitol-riots-paper/5.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750453/capitol-riots-paper/5_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/e5D70J9CH7FlhnpJPCR6voFi/
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750454/capitol-riots-paper/5.2.jpg,,
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750454/capitol-riots-paper/5.3.jpg,,
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750454/capitol-riots-paper/5.4.jpg,,
6,https://twitter.com/marte_campo/status/1346937622975885314,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750454/capitol-riots-paper/6.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750454/capitol-riots-paper/6_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/czPzoN4LuLlJfK2E7lxzkfPN/
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750454/capitol-riots-paper/6.2.jpg,,
